Player,Transfer,KDA,WR,KPAR,Team-Rank,Team-Pts
Aiming,0,5.301736993025986,61.904761904761905,71.51190476190477,5,6
Bdd,1,6.125141231710574,71.42857142857143,68.02967032967034,1,15
Chovy,0,8.739225712198683,65.11627906976744,67.94651162790696,2,15
CuVee,0,2.513153876521315,55.43478260869565,62.92717391304347,4,12
Cuzz,0,2.596442680776014,61.111111111111114,64.97777777777777,3,13
Deft,1,4.554469777031214,64.64646464646465,66.5050505050505,1,15
Effort,0,3.632358930087022,52.54237288135593,73.54406779661018,7,-4
Faker,0,3.725129278961301,46.15384615384615,76.43846153846152,7,-4
Haru,1,2.6817275747508305,57.14285714285713,70.53428571428572,7,-4
Key,0,3.5598784114862103,52.22222222222222,71.29111111111112,6,4
Khan,0,4.0079597291592135,71.60493827160494,60.23086419753087,3,13
Kiin,0,3.928951669017413,61.320754716981135,62.37169811320755,5,6
Kingen,0,1.0,0.0,100.0,1,15
Kuzan,1,0.7619047619047619,0.0,30.0,6,4
Lava,0,3.5779052847092445,53.40909090909091,76.52613636363635,6,4
Lehends,0,5.230459700036582,64.70588235294117,73.37843137254902,2,15
Lindarang,1,2.650390545632144,52.22222222222222,61.174444444444454,8,-17
Mata,1,4.738754009138989,64.64646464646465,70.86666666666667,7,-4
PawN,0,4.3612833267986675,59.375,73.934375,1,15
Peanut,0,6.511949664253577,73.97260273972603,73.7876712328767,3,13
PraY,1,6.026591979045876,71.42857142857143,65.43956043956042,3,13
Rascal,0,7.369999999999999,70.0,61.82000000000001,3,13
Roach,1,1.678924434052503,21.951219512195124,53.65609756097561,4,12
Ruler,0,3.898496422697878,54.83870967741935,71.12795698924731,4,12
Sangyoon,0,4.738185420396771,52.22222222222222,67.90777777777778,6,4
Score,0,4.157169345336,65.51724137931035,74.82528735632185,1,15
SeongHwan,0,3.224912757732319,53.40909090909091,75.20113636363637,6,4
Smeb,0,4.0392854652057135,65.3061224489796,65.71530612244898,1,15
SoHwan,1,2.7863785189220476,37.07865168539326,58.384269662921355,8,-17
Spirit,0,4.124377055344424,61.72839506172839,70.19506172839507,5,6
Sword,0,3.839767716958812,64.70588235294117,62.75882352941177,2,15
Teddy,1,4.2010117174116015,37.07865168539326,74.01797752808989,7,-4
Tempt,1,3.4262616198088978,29.885057471264368,69.00919540229884,6,4
Thal,0,2.753734028764052,50.0,59.022368421052626,7,-4
TusiN,1,3.797691220545511,61.320754716981135,73.36698113207547,3,13
Ucal,1,4.134426401237211,67.16417910447761,65.65671641791045,1,15
UmTi,1,2.7417033454891393,38.8235294117647,74.11176470588235,1,15
Yaharong,0,3.235663930042192,37.5,67.34625,8,-17
