team_season,Top,Jungle,Mid,Bot,Support,Head_Coach
Afreeca_Freecs_2021_Preseason,0,0,0,0,0,0
DAMWON_Gaming_2021_Preseason,0,0,0,0,0,0
DRX_2021_Preseason,0,0,0,0,0,0
Gen_2e-G_2021_Preseason,0,0,0,0,0,0
Hanwha_Life_Esports_2021_Preseason,0,0,0,0,0,0
KT_Rolster_2021_Preseason,0,0,0,0,0,0
SANDBOX_Gaming_2021_Preseason,0,0,0,0,0,0
SeolHaeOne_Prince_2021_Preseason,0,0,0,0,0,0
T1_2021_Preseason,0,0,0,0,0,0
Team_Dynamics_2021_Preseason,0,0,0,0,0,0
Afreeca_Freecs_2020_Midseason,0,0,0,0,0,0
"SeolHaeOne_Prince,SeolHaeOne_Prince_2020_Midseason",0,0,0,0,0,0
DAMWON_Gaming_2020_Midseason,0,0,0,0,0,0
"DRX,DRX_2020_Midseason",0,0,0,0,0,0
Gen_2e-G_2020_Midseason,0,0,0,0,0,0
Hanwha_Life_Esports_2020_Midseason,0,0,0,0,0,0
KT_Rolster_2020_Midseason,0,0,0,0,0,0
SANDBOX_Gaming_2020_Midseason,0,0,0,0,0,0
T1_2020_Midseason,0,0,0,0,0,0
Team_Dynamics_2020_Midseason,0,0,0,0,0,0
Afreeca_Freecs_2020_Preseason,0,0,0,0,0,0
SeolHaeOne_Prince_2020_Preseason,0,0,0,0,0,0
DAMWON_Gaming_2020_Preseason,0,0,0,0,0,0
"Kingzone_DragonX,DRX_2020_Preseason",0,0,0,0,0,0
Gen_2e-G_2020_Preseason,0,0,0,0,0,0
Griffin_2020_Preseason,0,0,0,0,0,0
Hanwha_Life_Esports_2020_Preseason,0,0,0,0,0,0
KT_Rolster_2020_Preseason,0,0,0,0,0,0
SANDBOX_Gaming_2020_Preseason,0,0,0,0,0,0
"SK_Telecom_T1,T1_2020_Preseason",0,0,0,0,0,0
